CAS,ICH Limit,ICH Class,In Ch I Key,In Ch I,PC1,PC2,PC3,PC4,PC5,Name
111109-77-4,,,OQUIHNRSFOIOFU-UHFFFAOYSA-N,"InChI=1S/C8H18O3/c1-7(10-4)6-11-8(2)5-9-3/h7-8H,5-6H2,1-4H3",1.26165,4.99314,-0.038045,-1.62979,-0.417405,2-Methoxy-1-[(1-methoxy-2-propanyl)oxy]propane [Propylene Glycol Dimethyl Ether]
110-00-9,,,YLQBMQCUIZJEEH-UHFFFAOYSA-N,InChI=1S/C4H4O/c1-2-4-5-3-1/h1-4H,1.42377,-5.18831,-2.06609,0.408705,-1.10063,Furan
107-31-3,,,TZIHFWKZFHZASV-UHFFFAOYSA-N,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3",-2.7394,-4.36315,-2.99058,-2.02339,2.15273,Methyl Formate
75-35-4,8,1,LGXVIGDEPROXKC-UHFFFAOYSA-N,InChI=1S/C2H2Cl2/c1-2(3)4/h1H2,1.42072,-6.41141,-1.7826,-0.47086,1.38552,"1,1-Dichloroethene"
75-31-0,,,JJWLVOIRVHMVIS-UHFFFAOYSA-N,"InChI=1S/C3H9N/c1-3(2)4/h3H,4H2,1-2H3",-3.97711,0.357103,-2.88464,-3.61627,-2.26472,Isopropylamine
60-29-7,5000,3,RTZKZFJDLAIYFH-UHFFFAOYSA-N,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",0.74113,-2.09667,-2.27144,-3.98644,-0.843687,Diethyl Ether [Ether]
109-66-0,5000,3,OFBQJSOFQDEBGM-UHFFFAOYSA-N,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",5.35467,-6.00755,-0.446493,-4.01826,0.0227278,n-Pentane
407-25-0,,,QAEDZJGFFMLHHQ-UHFFFAOYSA-N,"InChI=1S/C4F6O3/c5-3(6,7)1(11)13-2(12)4(8,9)10",3.62775,-4.25855,1.75618,-1.59535,5.66695,"2,2,2-trifluoroacetic Anhydride [TFAA]"
75-09-2,600,2,YMWUJEATGCHHMB-UHFFFAOYSA-N,InChI=1S/CH2Cl2/c2-1-3/h1H2,-0.6554,-6.54068,-1.33663,1.27833,1.99856,DCM [Dichloromethane]
75-64-9,,,YBRBMKDOPFTVDT-UHFFFAOYSA-N,"InChI=1S/C4H11N/c1-4(2,3)5/h5H2,1-3H3",-2.57619,1.22966,-2.56097,-3.56882,-2.37864,2-Amino-2-methylpropane [tert-Butylamine]
75-15-0,,,QGJOPFRUJISHPQ-UHFFFAOYSA-N,InChI=1S/CS2/c2-1-3,2.09631,-7.05012,-3.08796,3.13969,-2.90962,Carbon Disulfide
156-60-5,,,KFUSEUYYWQURPO-UPHRSURJSA-N,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1-,2.03275,-5.64124,-0.768073,0.930582,-0.665294,"(Z)-1,2-Dichloroethene"
107-10-8,,,WGYKZJWCGVVSQN-UHFFFAOYSA-N,"InChI=1S/C3H9N/c1-2-3-4/h2-4H2,1H3",-3.3769,0.0468865,-2.43398,-2.97691,-2.35763,n-Propylamine
287-92-3,,,RGSFGYAAUTVSQA-UHFFFAOYSA-N,InChI=1S/C5H10/c1-2-4-5-3-1/h1-5H2,3.59382,-6.52093,-0.976066,-2.51651,-0.436023,Cyclopentane
109-94-4,,,WBJINCZRORDGAQ-UHFFFAOYSA-N,"InChI=1S/C3H6O2/c1-2-5-3-4/h3H,2H2,1H3",-1.62046,-3.06415,-2.54326,-2.04004,1.91163,Ethyl Formate
1634-04-4,5000,3,BZLVMXJERCGZMT-UHFFFAOYSA-N,"InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3",0.922674,-1.18203,-2.01444,-2.98548,-0.762469,MTBE [tert-Butylmethylether]
109-89-7,,,HPNMFZURTQLUMO-UHFFFAOYSA-N,"InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3",-0.678531,0.0716492,-2.33878,-3.4117,-3.08979,Diethylamine
67-64-1,5000,3,CSCPPACGZOOCGX-UHFFFAOYSA-N,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,-3.04341,-1.91259,-3.56567,-1.794,0.596176,Acetone
79-20-9,5000,3,KXKVLQRXCPHEJC-UHFFFAOYSA-N,InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3,-1.73145,-2.54602,-2.8433,-2.06339,1.13524,Methyl Acetate
75-34-3,,,SCYULBFZEHDVBN-UHFFFAOYSA-N,"InChI=1S/C2H4Cl2/c1-2(3)4/h2H,1H3",0.884069,-5.24096,-1.47983,0.228239,2.12883,"1,1-Dichloroethane"
920-66-1,,,BYEAHWXPCBROCE-UHFFFAOYSA-N,"InChI=1S/C3H2F6O/c4-2(5,6)1(10)3(7,8)9/h1,10H",-7.26762,-8.20768,11.9645,-1.99806,-0.023481,"1,1,1,3,3,3-Hexafluoropropan-2-ol"
156-59-2,,,KFUSEUYYWQURPO-OWOJBTEDSA-N,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1+,0.491969,-5.33024,-1.52464,1.85403,0.440174,"(E)-1,2-Dichloroethene"
107-83-5,,,AFABGHUZZDYHJO-UHFFFAOYSA-N,"InChI=1S/C6H14/c1-4-5-6(2)3/h6H,4-5H2,1-3H3",5.20913,-4.80332,-0.205914,-3.23107,-0.158737,iso-Hexane [2-Methylpentane]
67-66-3,60,2,HEDRZPFGACZZDS-UHFFFAOYSA-N,InChI=1S/CHCl3/c2-1(3)4/h1H,0.447314,-6.55056,0.116041,0.956611,0.384643,Chloroform
