base,ligand,solvent,concentration,temperature,PC1,PC2,PC3,PC4,yield,cost,priority
KOPiv,X-Phos,p-Xylene,0.153,120,5.7,-2.2,0.0,1.3,62.15,0.030544243,1.0
KOPiv,PPh3,p-Xylene,0.153,120,5.7,-2.2,0.0,1.3,7.54,0.022147574,1.0
KOAc,X-Phos,p-Xylene,0.153,120,5.7,-2.2,0.0,1.3,61.67,0.031636791,1.0
KOAc,PCy3 HBF4,DMAc,0.153,120,-4.3,3.0,-3.4,0.5,11.91,0.027543527,1.0
KOPiv,tBPh-CPhos,p-Xylene,0.153,120,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,p-Xylene,0.153,105,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,p-Xylene,0.153,90,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,p-Xylene,0.1,120,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,p-Xylene,0.1,105,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,p-Xylene,0.1,90,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,p-Xylene,0.057,120,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,p-Xylene,0.057,105,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,p-Xylene,0.057,90,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,DMAc,0.153,120,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,DMAc,0.153,105,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,DMAc,0.153,90,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,DMAc,0.1,120,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,DMAc,0.1,105,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,DMAc,0.1,90,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,DMAc,0.057,120,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,DMAc,0.057,105,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,DMAc,0.057,90,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,BuOAc,0.153,120,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,BuOAc,0.153,105,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,BuOAc,0.153,90,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,BuOAc,0.1,120,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,BuOAc,0.1,105,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,BuOAc,0.057,120,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,BuOAc,0.057,105,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,BuOAc,0.057,90,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,BuCN,0.153,120,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,BuCN,0.153,105,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,BuCN,0.153,90,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,BuCN,0.1,120,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,BuCN,0.1,105,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,BuCN,0.1,90,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,BuCN,0.057,120,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,BuCN,0.057,105,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,tBPh-CPhos,BuCN,0.057,90,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,X-Phos,p-Xylene,0.153,105,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,X-Phos,p-Xylene,0.153,90,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,X-Phos,p-Xylene,0.1,120,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,X-Phos,p-Xylene,0.1,105,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,X-Phos,p-Xylene,0.1,90,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,X-Phos,p-Xylene,0.057,120,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,X-Phos,p-Xylene,0.057,105,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,X-Phos,p-Xylene,0.057,90,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,X-Phos,DMAc,0.153,105,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,X-Phos,DMAc,0.153,90,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,X-Phos,DMAc,0.1,105,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,X-Phos,DMAc,0.1,90,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,X-Phos,DMAc,0.057,105,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,X-Phos,DMAc,0.057,90,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,X-Phos,BuOAc,0.153,120,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,X-Phos,BuOAc,0.153,105,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,X-Phos,BuOAc,0.153,90,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,X-Phos,BuOAc,0.1,120,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,X-Phos,BuOAc,0.1,105,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,X-Phos,BuOAc,0.1,90,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,X-Phos,BuOAc,0.057,120,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,X-Phos,BuOAc,0.057,105,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,X-Phos,BuOAc,0.057,90,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,X-Phos,BuCN,0.153,120,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,X-Phos,BuCN,0.153,105,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,X-Phos,BuCN,0.153,90,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,X-Phos,BuCN,0.1,120,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,X-Phos,BuCN,0.1,105,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,X-Phos,BuCN,0.1,90,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,X-Phos,BuCN,0.057,120,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,X-Phos,BuCN,0.057,105,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,X-Phos,BuCN,0.057,90,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,PPhtBu2,p-Xylene,0.153,120,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,PPhtBu2,p-Xylene,0.153,105,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,PPhtBu2,p-Xylene,0.153,90,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,PPhtBu2,p-Xylene,0.1,120,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,PPhtBu2,p-Xylene,0.1,105,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,PPhtBu2,p-Xylene,0.1,90,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,PPhtBu2,p-Xylene,0.057,120,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,PPhtBu2,p-Xylene,0.057,105,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,PPhtBu2,p-Xylene,0.057,90,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,PPhtBu2,DMAc,0.153,105,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,PPhtBu2,DMAc,0.153,90,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,PPhtBu2,DMAc,0.1,120,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,PPhtBu2,DMAc,0.1,105,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,PPhtBu2,DMAc,0.1,90,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,PPhtBu2,DMAc,0.057,120,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,PPhtBu2,DMAc,0.057,105,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,PPhtBu2,DMAc,0.057,90,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,PPhtBu2,BuOAc,0.153,120,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,PPhtBu2,BuOAc,0.153,105,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,PPhtBu2,BuOAc,0.153,90,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,PPhtBu2,BuOAc,0.1,120,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,PPhtBu2,BuOAc,0.1,105,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,PPhtBu2,BuOAc,0.1,90,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,PPhtBu2,BuOAc,0.057,120,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,PPhtBu2,BuOAc,0.057,105,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,PPhtBu2,BuOAc,0.057,90,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,PPhtBu2,BuCN,0.153,120,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,PPhtBu2,BuCN,0.153,105,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,PPhtBu2,BuCN,0.153,90,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,PPhtBu2,BuCN,0.1,120,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,PPhtBu2,BuCN,0.1,105,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,PPhtBu2,BuCN,0.1,90,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,PPhtBu2,BuCN,0.057,120,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,PPhtBu2,BuCN,0.057,105,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,PPhtBu2,BuCN,0.057,90,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,PPhMe2,p-Xylene,0.153,120,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,PPhMe2,p-Xylene,0.153,105,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,PPhMe2,p-Xylene,0.153,90,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,PPhMe2,p-Xylene,0.1,120,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,PPhMe2,p-Xylene,0.1,105,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,PPhMe2,p-Xylene,0.1,90,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,PPhMe2,p-Xylene,0.057,120,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,PPhMe2,p-Xylene,0.057,105,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,PPhMe2,p-Xylene,0.057,90,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,PPhMe2,DMAc,0.153,105,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,PPhMe2,DMAc,0.153,90,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,PPhMe2,DMAc,0.1,120,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,PPhMe2,DMAc,0.1,105,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,PPhMe2,DMAc,0.1,90,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,PPhMe2,DMAc,0.057,120,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,PPhMe2,DMAc,0.057,105,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,PPhMe2,DMAc,0.057,90,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,PPhMe2,BuOAc,0.153,120,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,PPhMe2,BuOAc,0.153,105,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,PPhMe2,BuOAc,0.153,90,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,PPhMe2,BuOAc,0.1,120,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,PPhMe2,BuOAc,0.1,105,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,PPhMe2,BuOAc,0.1,90,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,PPhMe2,BuOAc,0.057,120,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,PPhMe2,BuOAc,0.057,105,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,PPhMe2,BuOAc,0.057,90,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,PPhMe2,BuCN,0.153,120,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,PPhMe2,BuCN,0.153,105,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,PPhMe2,BuCN,0.1,120,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,PPhMe2,BuCN,0.1,105,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,PPhMe2,BuCN,0.1,90,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,PPhMe2,BuCN,0.057,120,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,PPhMe2,BuCN,0.057,105,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,PPhMe2,BuCN,0.057,90,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,PPh3,p-Xylene,0.153,105,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,PPh3,p-Xylene,0.153,90,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,PPh3,p-Xylene,0.1,120,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,PPh3,p-Xylene,0.1,105,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,PPh3,p-Xylene,0.1,90,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,PPh3,p-Xylene,0.057,120,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,PPh3,p-Xylene,0.057,105,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,PPh3,p-Xylene,0.057,90,5.7,-2.2,0.0,1.3,PENDING,PENDING,0.0
KOPiv,PPh3,DMAc,0.153,90,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,PPh3,DMAc,0.1,120,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,PPh3,DMAc,0.1,105,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,PPh3,DMAc,0.1,90,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,PPh3,DMAc,0.057,120,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,PPh3,DMAc,0.057,105,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,PPh3,DMAc,0.057,90,-4.3,3.0,-3.4,0.5,PENDING,PENDING,0.0
KOPiv,PPh3,BuOAc,0.153,120,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,PPh3,BuOAc,0.153,105,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,PPh3,BuOAc,0.153,90,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,PPh3,BuOAc,0.1,120,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,PPh3,BuOAc,0.1,105,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,PPh3,BuOAc,0.1,90,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,PPh3,BuOAc,0.057,120,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,PPh3,BuOAc,0.057,105,1.6,0.1,-0.8,-1.9,PENDING,PENDING,0.0
KOPiv,PPh3,BuCN,0.153,120,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,PPh3,BuCN,0.153,105,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,PPh3,BuCN,0.153,90,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
KOPiv,PPh3,BuCN,0.1,120,-1.6,-2.1,-1.8,-0.9,PENDING,PENDING,0.0
